11:34:34.894881 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001526 |           |              | code:0
11:34:34.897837 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.897861 common-main.c:49             | d0 | main                     | start        |     |  0.000375 |           |              | git config --replace-all bundle.latestTimestamp 1633322983
11:34:34.897932 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.898089 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:34.898367 git.c:785                    | d0 | main                     | exit         |     |  0.000886 |           |              | code:0
11:34:34.898385 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.000904 |           |              | code:0
11:34:35.209581 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.209620 common-main.c:49             | d0 | main                     | start        |     |  0.000576 |           |              | git bundle unbundle .git/bundles/2.bundle
11:34:35.209785 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.210144 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:35.239260 run-command.c:738            | d0 | main                     | child_start  |     |  0.030218 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:35.241541 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.241575 common-main.c:49             | d1 | main                     | start        |     |  0.000551 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:35.241687 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.241886 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:35.356821 git.c:785                    | d1 | main                     | exit         |     |  0.115803 |           |              | code:0
11:34:35.356841 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.115826 |           |              | code:0
11:34:35.358010 run-command.c:993            | d0 | main                     | child_exit   |     |  0.148968 |  0.118750 |              | [ch0] pid:7999 code:0
11:34:35.358143 git.c:785                    | d0 | main                     | exit         |     |  0.149107 |           |              | code:0
11:34:35.358165 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.149129 |           |              | code:0
11:34:35.363241 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.363276 common-main.c:49             | d0 | main                     | start        |     |  0.000527 |           |              | git branch -f refs/bundles/2021-10-7 106298f7f9cca4158a980de149ef217751e1f943
11:34:35.363379 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.363593 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:35.364522 git.c:785                    | d0 | main                     | exit         |     |  0.001780 |           |              | code:0
11:34:35.364544 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001803 |           |              | code:0
11:34:35.368264 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.368295 common-main.c:49             | d0 | main                     | start        |     |  0.000483 |           |              | git config --replace-all bundle.latestTimestamp 1633552832
11:34:35.368392 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.368601 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:35.368956 git.c:785                    | d0 | main                     | exit         |     |  0.001150 |           |              | code:0
11:34:35.368979 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001174 |           |              | code:0
11:34:35.893963 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.894006 common-main.c:49             | d0 | main                     | start        |     |  0.000613 |           |              | git bundle unbundle .git/bundles/3.bundle
11:34:35.894142 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.894477 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:35.905483 run-command.c:738            | d0 | main                     | child_start  |     |  0.012093 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:35.907657 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.907692 common-main.c:49             | d1 | main                     | start        |     |  0.000549 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:35.907799 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.907943 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.049994 git.c:785                    | d1 | main                     | exit         |     |  0.142856 |           |              | code:0
11:34:36.050016 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.142880 |           |              | code:0
11:34:36.051226 run-command.c:993            | d0 | main                     | child_exit   |     |  0.157836 |  0.145743 |              | [ch0] pid:8026 code:0
11:34:36.051328 git.c:785                    | d0 | main                     | exit         |     |  0.157943 |           |              | code:0
11:34:36.051349 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.157964 |           |              | code:0
11:34:36.056125 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.056159 common-main.c:49             | d0 | main                     | start        |     |  0.000536 |           |              | git branch -f refs/bundles/2021-10-12 2a97289ad8b103625d3a1a12f66c27f50df822ce
11:34:36.056269 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.056501 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:36.057491 git.c:785                    | d0 | main                     | exit         |     |  0.001875 |           |              | code:0
11:34:36.057514 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001899 |           |              | code:0
11:34:36.061284 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.061317 common-main.c:49             | d0 | main                     | start        |     |  0.000508 |           |              | git config --replace-all bundle.latestTimestamp 1633972934
11:34:36.061426 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.061655 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:36.062069 git.c:785                    | d0 | main                     | exit         |     |  0.001267 |           |              | code:0
11:34:36.062098 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001296 |           |              | code:0
11:34:36.197974 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.198017 common-main.c:49             | d0 | main                     | start        |     |  0.000626 |           |              | git bundle unbundle .git/bundles/4.bundle
11:34:36.198138 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.198465 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:36.219447 run-command.c:738            | d0 | main                     | child_start  |     |  0.022058 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:36.221667 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.221704 common-main.c:49             | d1 | main                     | start        |     |  0.000547 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:36.221873 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.222033 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.295279 git.c:785                    | d1 | main                     | exit         |     |  0.074129 |           |              | code:0
11:34:36.295305 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.074156 |           |              | code:0
11:34:36.296100 run-command.c:993            | d0 | main                     | child_exit   |     |  0.098711 |  0.076653 |              | [ch0] pid:8036 code:0
11:34:36.296225 git.c:785                    | d0 | main                     | exit         |     |  0.098842 |           |              | code:0
11:34:36.296246 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.098863 |           |              | code:0
11:34:36.301146 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.301182 common-main.c:49             | d0 | main                     | start        |     |  0.000551 |           |              | git branch -f refs/bundles/2021-10-13 2bd2f258f4195ac54293a3f45b86457c0bd5fc11
11:34:36.301290 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.301519 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:36.302607 git.c:785                    | d0 | main                     | exit         |     |  0.001983 |           |              | code:0
11:34:36.302633 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.002010 |           |              | code:0
11:34:36.305096 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.305110 common-main.c:49             | d0 | main                     | start        |     |  0.000225 |           |              | git config --replace-all bundle.latestTimestamp 1634072372
11:34:36.305158 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.305255 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:36.305444 git.c:785                    | d0 | main                     | exit         |     |  0.000562 |           |              | code:0
11:34:36.305456 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.000574 |           |              | code:0
11:34:36.473638 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.473679 common-main.c:49             | d0 | main                     | start        |     |  0.000560 |           |              | git bundle unbundle .git/bundles/5.bundle
11:34:36.473833 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.474173 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:36.489269 run-command.c:738            | d0 | main                     | child_start  |     |  0.016151 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:36.491063 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.491097 common-main.c:49             | d1 | main                     | start        |     |  0.000505 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:36.491201 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.491335 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.653998 git.c:785                    | d1 | main                     | exit         |     |  0.163410 |           |              | code:0
11:34:36.654031 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.163445 |           |              | code:0
11:34:36.655735 run-command.c:993            | d0 | main                     | child_exit   |     |  0.182613 |  0.166462 |              | [ch0] pid:8055 code:0
11:34:36.655843 git.c:785                    | d0 | main                     | exit         |     |  0.182732 |           |              | code:0
11:34:36.655866 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.182755 |           |              | code:0
11:34:36.660649 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.660685 common-main.c:49             | d0 | main                     | start        |     |  0.000549 |           |              | git branch -f refs/bundles/2021-10-14 9875c515535860450bafd1a177f64f0a478900fa
11:34:36.660799 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.661031 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:36.662143 git.c:785                    | d0 | main                     | exit         |     |  0.002013 |           |              | code:0
11:34:36.662169 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.002040 |           |              | code:0
11:34:36.665888 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.665925 common-main.c:49             | d0 | main                     | start        |     |  0.000582 |           |              | git config --replace-all bundle.latestTimestamp 1634163358
11:34:36.666039 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.666273 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:36.666676 git.c:785                    | d0 | main                     | exit         |     |  0.001340 |           |              | code:0
11:34:36.666702 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001366 |           |              | code:0
11:34:36.768474 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.768517 common-main.c:49             | d0 | main                     | start        |     |  0.000574 |           |              | git bundle unbundle .git/bundles/6.bundle
11:34:36.768633 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.768968 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:36.770617 run-command.c:738            | d0 | main                     | child_start  |     |  0.002679 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:36.772696 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.772729 common-main.c:49             | d1 | main                     | start        |     |  0.000499 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:36.772840 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.773009 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.786803 git.c:785                    | d1 | main                     | exit         |     |  0.014578 |           |              | code:0
11:34:36.786837 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.014614 |           |              | code:0
11:34:36.787155 run-command.c:993            | d0 | main                     | child_exit   |     |  0.019215 |  0.016536 |              | [ch0] pid:8065 code:0
11:34:36.787260 git.c:785                    | d0 | main                     | exit         |     |  0.019325 |           |              | code:0
11:34:36.787280 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.019345 |           |              | code:0
11:34:36.791573 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.791606 common-main.c:49             | d0 | main                     | start        |     |  0.000494 |           |              | git branch -f refs/bundles/2021-10-15 f443b226ca681d87a3a31e245a70e6bc2769123c
11:34:36.791713 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.791924 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:36.792931 git.c:785                    | d0 | main                     | exit         |     |  0.001826 |           |              | code:0
11:34:36.792955 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001849 |           |              | code:0
11:34:36.796521 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.796555 common-main.c:49             | d0 | main                     | start        |     |  0.000490 |           |              | git config --replace-all bundle.latestTimestamp 1634230516
11:34:36.796659 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.796872 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:36.797231 git.c:785                    | d0 | main                     | exit         |     |  0.001172 |           |              | code:0
11:34:36.797254 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001197 |           |              | code:0
11:34:36.975163 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.975203 common-main.c:49             | d0 | main                     | start        |     |  0.000565 |           |              | git bundle unbundle .git/bundles/7.bundle
11:34:36.975322 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
